nome,cidade_e_estado,contribuicoes,nota,titulo,em_companhia_de,review,imagens,nota_custo,nota_atendimento,nota_comida,nota_ambiente,is_parceria_patrocinada,data_postagem,title_len,review_len,day_of_month,is_weekday,day_of_week,month,year,pca_1,pca_2,svd_1,svd_2,tsne_1,tsne_2,nmf_1,nmf_2
Laila Sá,"Barueri, SP",41,1,Aniversário de casamento arruinado pelo péssimo atendimento e ambiente.,Casal,"Fomos ao restaurante para comemorar nosso aniversário de casamento, fiz a reserva para as 20:30 no restaurante, além da reserva para o bar do Vaticano pois queríamos ver Tony Gordon cantar e comemorar. Chegamos no restaurante às 20:38 e haviam passado nossa mesa para quem estava na fila de espera, ok, sem problemas. Tomamos um drink e esperamos pela mesa. Nesse meio tempo o gerente que é francês veio conversar conosco, quer dizer, com meu marido que é holandês pois ele me ignorou totalmente sendo extremamente rude, mal educado, falando alto sobre futebol holandês como se fosse um velho amigo (meu marido nem gosta de futebol). Depois da conversa meu próprio marido se sentiu desconfortável e me pediu desculpas pela situação que o gerente criou.
									Nos colocaram numa mesa no salão onde estava acontecendo um evento de nutrição “amor em nutrir” a nossa mesa era a única que não participava do evento neste salão. Durante nosso jantar tivemos que ouvir conversas e gargalhadas altas do grupo, além da movimentação entre as mesas das organizadoras e dos participantes. Foi tudo realmente desagradável. No final do jantar quando pedimos a conta um dos responsáveis pelo salão nos disse que a empresa do evento estava se oferecendo a pagar a nossa conta devido aos distúrbios causados. Não aceitamos o pagamento da nossa conta. Nosso aniversário de um ano foi um desastre. Desistimos do show do Tony Gordon e voltamos para casa. Me arrependi de ter sugerido o restaurante para meu marido e no final ainda discutimos. Arruinaram nosso jantar, nossa noite, nosso show e nosso aniversário.",0,,,,,False,2025-12-29,71,1595,29,True,monday,december,2025,-268.2237,1174.0184,2276.4583,-420.2992,4.2018137,-3.1302512,1.4330676,0.051530577
Antônio A,"Rio de Janeiro, RJ",2,3,Lugar agradável mas nada excepcional.,Amigos,"Ambiente ok. Freitas atencioso e atento. No mais, o treinamento poderia ser melhor. Pratos deliciosos. Supera a falha no serviço.",0,,,,,False,2025-10-18,37,129,18,False,saturday,october,2025,-432.04156,-283.55298,1946.8635,-494.05392,-6.653838,1.9281856,0.97452027,0.40905803
Millena_Amaral,"Recife, PE",541,5,Excelente restaurante do chef Jacquin,Família,"Excelente restaurante do chef Jacquin, da entrada à sobremesa, adorei todos os pratos, ambiente lindo decorado com limão siciliano e tons de vermelho. Ainda tive a sorte de encontrar o chef nesse dia.",3,,,,,False,2025-09-20,37,200,20,False,saturday,september,2025,111.05185,-258.76828,2089.2434,29.898315,-0.35507324,3.7937768,0.46374854,0.8117699
Carlos S,"São Roque, SP",22,5,Excelente local.,Família,"O restaurante tem uma decoração muito bonita.
									O atendimento é excelente, a comida é fantástica.
									Todos foram muito atenciosos, com destaque para o Freitas.
									O cardápio executivo é excelente com opções muito boas. A comida supera a expectativa.",0,5.0,5.0,5.0,5.0,False,2025-09-18,16,268,18,True,thursday,september,2025,-400.28308,-146.9893,1981.6622,-471.20706,-4.723768,0.022642171,0.60645044,0.72024274
Claudia T,"Recife, PE",140,5,Ótima experiência,Família,"ambiente agradável e bem decorado, comida muito gostosa e atendimento nota 10. Levamos um casal de jovens e quando o chef Érick Jacquin entrou no restaurante eles ficaram loucos pois são fãs do mesmo. O memso é uma simpatia em pessoa e eles ficaram encantados.",0,,,,,False,2025-09-16,17,260,16,True,tuesday,september,2025,-283.38608,-164.98956,2007.6747,-357.06827,-3.4722037,1.746789,0.5680034,0.7242791
Larissa F,"Recife, PE",916,5,Entrega o que promete !,Amigos,"Um jantar de amigas, terminando no Vaticano bar no subsolo, nesse dia tinha jazz
									Muito sabor em todos os pratos… amamos tudo como sempre não poderia faltar a sobremesa né ?",13,,,,,False,2025-08-29,23,181,29,True,friday,august,2025,483.0701,-309.8285,2173.2712,392.7736,1.2343187,4.116984,0.7509879,0.5873378
Lorena R,,1,4,Gastronomia maravilhosa,Família,"Experiência maravilhosa, comida deliciosa.
									O garçom Andrei muito atencioso e gentil.
									Irei retornar com toda certeza.
									Chef Jacquin maravilhoso",1,3.0,4.0,5.0,4.0,False,2025-08-29,23,168,29,True,friday,august,2025,-429.73035,-244.79294,1955.0614,-494.0582,-6.4239626,1.1630281,0.55426615,0.74435717
MirisPoit,"Cuiabá, MT",25,5,Perfeito!!!!! Uma maravilhosa surpresa!,Solo,"Simplesmente: UAU!!!!
									Fui muito bem atendida pelo Andrei, que me deu uma super atenção, explicou os pratos e deu indicações precisas. O prato principal foi uma das melhores pastas que já comi em SP. A sobremesa não ficou atrás. O custo benefício foi sem sombra de dúvida uma grata surpresa! A casa, equipe e cozinha estão de parabéns!",2,,,,,False,2025-08-28,39,343,28,True,thursday,august,2025,-390.8862,-72.31946,1999.0776,-466.52853,-3.4744532,-1.1571733,0.5702307,0.72663295
Letícia T,,17,5,Ótimo custo benefício,Casal,"Eu amei! Desde a entrada, couvert, até o prato principal. Eu comi polvo e meu marido escolheu um prato com frango, ambos deliciosos. Optamos pelo vinho indicação do chef, e foi uma grata surpresa! A conta com entrada, couvert para 2, 2 pratos e vinho ficou 780,00.",2,,,,,False,2025-07-26,21,264,26,False,saturday,july,2025,-405.59946,-150.52003,1979.7241,-476.17242,-5.042889,-0.13302374,0.68125844,0.6349579
Larissa C,"Juiz de Fora, MG",47,1,Experiência negativa com a reserva.,Família,"Fiz reserva quase 1 mês antes, para uma quinta à noite. Quando chegamos ao restaurante esperamos por 1h e depois disso a recepcionista nos informou que haviam muitas reservas neste dia e acabaram não dando conta. Fomos embora.
									Não esperava passar por isso num restaurante como esse. Lamentável.",0,,,,,False,2025-06-15,35,303,15,False,sunday,june,2025,-372.37466,-114.04406,1995.3663,-446.1562,-3.9843273,-0.4498707,1.4181602,0.072673246
Patynarchi,,50,4,Italiano francês,Família,"Gostamos muito do restaurante, ponto alto para a decoração. Um mix de cores e estilos. Fui comemorar meu aniversário com minha família. Tivemos um contratempo com o garçom esquecendo de anotar o prato de meu Marido, mesmo ele perguntando pro garçom se ele checou se havia tomado nota de todos, pois estávamos em 12 pessoas. Conclusão : chegou o prato de todos, menos de meu marido… os pratos permaneceram cobertos por 15 min, no aguardo deles prepararem as pressas o prato que faltava. Assisto aos programas do Jacquin e vejo o quanto ele cobra que todos os pratos cheguem juntos à mesa, mas pelo jeito,no próprio restaurante isso também acontece. Meu prato deu uma leve esfriada e endureceu um pouco a pasta.. ou seja, minha primeira experiência lá não foi nota 10, muito chato o que rolou, mas quem sabe na próxima teremos mais sorte.",1,,,,,False,2025-06-13,16,836,13,True,friday,june,2025,-323.96414,416.54593,2112.1526,-430.07312,2.1066566,-2.9916883,0.9970216,0.38092363
Leonara O,"Itapetinga, BA",21,5,LVTETIA RESTAURANTE DO JACQUIN QUE SURPREENDE POSITIVAMENTE,Amigos,"Comida perfeita e preço justo. Fui a este restaurante do Jacquin com certa resistência, pois tive uma experiência horrível no Les Présidents e no Steak Bife. Contudo o LVtetia, me ganhou, com uma comida simples mas saborosa e com uma harmonização que aguça o paladar. Vale a pena ir ao LVtetia, pois tem comida boa, preço justo e Evandro que é um garçom bem humorada e atencioso.",6,,,,,False,2025-04-14,59,379,14,True,monday,april,2025,-391.7755,-35.87712,2006.108,-469.52066,-2.8277893,-1.7089683,0.70700634,0.6389472
Adriana H,"Porto Alegre, RS",229,5,Imperdível,Família,"Restaurante italiano do chef Erik Jacquin, pedimos o menu executivo harmonizado. Maravilhoso, pratos com tempero suave e marcante. Sobremesa deliciosa. Atendimento muito bom. Lugar muito bonito.",0,4.0,5.0,5.0,5.0,False,2025-04-07,10,194,7,True,monday,april,2025,-200.33783,-238.38705,2014.0575,-272.42612,-2.9060106,3.078341,0.38472882,0.8733794
cidsaopaulo,"São Paulo, SP",984,5,Boa pedida,Casal,"Fui de executivo e saí muito satisfeito. Porções satisfatórias, comida muito boa. Só o garçom destoou, pouco simpático,  não deu um sorriso sequer o almoço inteiro, mas fora isso atendeu bem.",1,,,,,False,2024-10-27,10,191,27,False,sunday,october,2024,551.6491,-305.7765,2190.3394,459.16617,1.5002415,4.282524,0.8509804,0.5069953
glau29,"Campinas, SP",71,3,Comida saborosa mas atendimento demorado,Casal,"Comida saborosa mas o atendimento é bem demorado.
									Pedimos o menu executivo no horário de almoço do sábado.
									A entrada demorou mais de 30 minutos pra chegar. Degustei a beringela. Estava uma delícia!
									Depois da entrada, os pratos levaram mais uns 20 minutos. Muito gostosos também.
									Mas o que incomodou foi a demora.
									No demais, os pratos são bem saborosos e o valor não é tão elevado para um restaurante desse tipo.",0,,,,,False,2024-08-16,40,456,16,True,friday,august,2024,-335.4186,36.392403,2033.5321,-418.90805,-1.2671942,-2.0371482,1.1414894,0.278921
Ada Freitas,,2,1,Atendimento desrespeitoso,Negócios,"Comida maravilhosa com um atendimento péssimo.
									Um garçom extremamente grosseiro e despreparado, o que fez com que a nossa experiência fosse super desagradável.
									O garçom Alexandre foi rude, gerou um desconforto enorme em nosso almoço e ainda falou alto para todos da mesa ouvirem, expondo uma colega nossa. Foi algo tão inadequado e desagradável que todos ficamos sem reação naquele momento.
									Espero que alguma ação seja tomada, porque de nada adianta ter pratos deliciosos se os clientes são constrangidos durante o serviço.",0,4.0,1.0,4.0,4.0,False,2024-07-20,25,550,20,False,saturday,july,2024,-396.1714,135.76384,2037.6583,-483.42126,-0.29815963,-3.1303797,1.3421087,0.13156898
Ovadia S,,32,5,Muito charme e glamour,Amigos,"Lugar dos mais bonitos com um bar/ club noturno no andar inferior, o Bar Vaticano/ Cozinha Franco italiana assinada por Erick Jacquin ( fica ao lado do fenômeno President)",10,2.0,5.0,4.0,5.0,False,2024-04-26,22,171,26,True,friday,april,2024,-398.57062,-244.4593,1962.0282,-463.67688,-5.793466,1.6471695,0.5593067,0.7254622
Haroldo Falcao,"Rio de Janeiro, RJ",75,4,Carioca em SP,Amigos,"Excelentes pratos, ambiente muito interessante.
									Valeu o investimento para uma reunião de amigos. Bom atendimento... Um choque para o carioca que vão para SP e encontra um restaurante bom em cada esquina",0,,,,,False,2024-04-20,13,211,20,False,saturday,april,2024,-352.3311,-208.32825,1980.7075,-421.00092,-4.7241206,1.5807444,0.736725,0.58992106
RAISA L,,1,3,Restaurante ok,Amigos,"Pedi o menu com harmonização, comida gostosa (não a melhor que já comi), bons vinhos. Mas o restaurante é totalmente despreparado para atender pais com crianças pequenas (tudo bem não ser um restaurante para crianças, mas não tem o mínimo de estrutura), nem trocador, nem cadeirinha, que são coisas simples. Metade da equipe simpática, metade não. O Jacquin estava no restaurante, não muito bem humorado, mas aceitou tirar foto.",0,3.0,3.0,3.0,5.0,False,2024-04-01,14,428,1,True,monday,april,2024,-407.55713,14.2451725,2010.5066,-487.30783,-2.2273254,-2.7318168,0.92124236,0.4604847
andremellao,"São Paulo, SP",49,1,Intoxicação alimentar,Amigos,"minha esposa comeu um salmão com risoto de alcachofra e minha amiga um saltimbocca, ambas tiveram intoxicação alimentar,  uma vergonha e o próprio Jacquin estava na cozinha esse dia, na saída até tirei foto com ele",0,2.0,4.0,1.0,4.0,False,2024-03-29,21,214,29,True,friday,march,2024,-377.98532,-203.07184,1975.4031,-446.16367,-5.0204964,1.214911,1.0626677,0.33076832
Liviaalima,"Macaé, RJ",44,3,Encantadora decoração mas infelizmente risoto cru e carne no ponto errado !,Casal,"O risoto de coelho com ragu muito bem feito mas o ponto do risoto muito cru. Não é que estava ao dente realmente estava cru com o meio com pedrinha . O medalhão bem alto uns 4 dedos mas pedimos ao ponto e veio mal passado com
									Miolo frio. A sobremesa mascarpone com chocolate só veio o mascapone . Uma taça  com aproximadamente 150 ml
									De mascarpone e 20 ml de chocolate . Queria dizer algo diferente mas não voltaremos !",2,,,,,False,2024-03-26,75,437,26,True,tuesday,march,2024,-363.92126,20.073391,2023.5074,-445.64148,-1.8288262,-2.2619162,1.2325021,0.20670849
